355050509-57;Cleber F C Parker;CPark355;Par604
181406242-10;Daniela J K Donaldson;DDona181;Don335
623311557-49;Mirella M J Baker;MBake623;Bak516
391414922-87;Rodrigo H A Martin;RMart391;Mar759
367337810-53;Leandro J H Dias;LDias367;Dia441
548971123-18;Sabine I A Rodrigues;SRodr548;Rod693
502778080-93;Mirella E B Bryant;MBrya502;Bry707
106987722-55;Pedro I H Duncan;PDunc106;Dun469
080238491-34;Athos A K deJesus;AdeJe080;deJ435
657365554-06;Fernanda C H Martins;FMart657;Mar415
340860584-03;Gabriel E J Dawson;GDaws340;Daw460
373364116-24;Gustavo I D Sanders;GSand373;San192
588550404-03;Sandra I L Fernandes;SFern588;Fer169
631228237-00;Gabriel H G Madsen;GMads631;Mad795
122746445-99;Leandro A C Bomfin;LBomf122;Bom892
064853735-45;Leonardo C B Turner;LTurn064;Tur626
513915136-74;Anna E D Mattos;AMatt513;Mat526
082194430-12;Sabine F M deJesus;SdeJe082;deJ684
081938422-90;Emanuel D K Amaral;EAmar081;Ama824
557801774-39;Bruno A L Mandacaru;BMand557;Man741
312969486-55;Gabriela A K Heredia;GHere312;Her365
046156241-19;Eduarda B F Damascena;EDama046;Dam303
646058614-92;Rodrigo M I Ferreira;RFerr646;Fer435
431610622-70;Arthur G D Logan;ALoga431;Log417
619202606-82;Amália K G Nunes;ANune619;Nun779
171358636-19;Thiago E E Domingues;TDomi171;Dom427
228565607-64;Athos A C Ximenes;AXime228;Xim720
649198867-24;Sandra C F Moreira;SMore649;Mor345
361235682-71;Jonathan A G Dutra;JDutr361;Dut529
256199883-16;Jéssica C G Rodrigues;JRodr256;Rod396
040831885-59;Mauro C I Donaldson;MDona040;Don656
042445014-90;Gilberto G A Murray;GMurr042;Mur300
551729679-78;Thiago F M Tavares;TTava551;Tav606
148690832-17;Sandra D C Oliveira;SOliv148;Oli802
385389379-94;Thiago D E Dias;TDias385;Dia228
607557514-04;Bruno K B Barbosa;BBarb607;Bar913
471260238-10;Isabela E E Oliveira;IOliv471;Oli144
444843972-47;Paula G K Tavares;PTava444;Tav544
331790592-48;Arthur H D Martin;AMart331;Mar696
539607973-82;Mauro K B Martins;MMart539;Mar170
559099085-86;Rafael L C Rodrigues;RRodr559;Rod640
330741845-37;Leandro G E Avelino;LAvel330;Ave365
248747460-69;Thiago C E Ximenes;TXime248;Xim622
175984852-63;Andressa F M Murta;AMurt175;Mur174
358037792-53;Leandro L H Caldas;LCald358;Cal128
509498539-30;Eduardo D J Holland;EHoll509;Hol533
611661762-58;Gustavo A A Murta;GMurt611;Mur747
557980326-76;Natália B G Duncan;NDunc557;Dun913
523210561-90;Gabriel E A Parker;GPark523;Par811
195787769-79;Pedro B I Teixeira;PTeix195;Tei886
422147948-73;Athos D A Dawson;ADaws422;Daw450
160444865-17;Lucas C B Heredia;LHere160;Her510
293448073-60;Andressa H M Ferreira;AFerr293;Fer678
107209044-51;Leandro H D Domingues;LDomi107;Dom489
289187500-74;Mirella E A Salah;MSala289;Sal645
622828442-61;Mauro D M Avelino;MAvel622;Ave733
511635679-10;Isadora L M Logan;ILoga511;Log584
294207109-06;Jonathan A D Saunders;JSaun294;Sau497
378837465-85;Francisco J J Avelino;FAvel378;Ave748
084508946-92;Gabriel L J Silva;GSilv084;Sil957
231284998-88;Ruver K L Ximenes;RXime231;Xim360
596256941-91;Orclevio E K Baker;OBake596;Bak776
155047579-93;Jonathan H E Marinho;JMari155;Mar401
441216762-58;Cleber F M Massula;CMass441;Mas112
331551099-30;Isabela C A Alves;IAlve331;Alv630
625605793-85;Gabriel B A Emanuel;GEman625;Ema894
585206884-37;Carlos E E Turner;CTurn585;Tur792
077457431-47;Walber E F Massula;WMass077;Mas122
218390475-38;Orclevio B E Logan;OLoga218;Log322
375381594-57;Tamara F K Dutra;TDutr375;Dut806
063220813-26;Thiago F J Baker;TBake063;Bak340
211227312-67;Sandra H M Moreira;SMore211;Mor827
197524819-79;Márcia H M Massula;MMass197;Mas228
062240410-08;Natália F G Baker;NBake062;Bak298
540104161-06;Gustavo C E Alves;GAlve540;Alv963
217150478-12;Paula D K Teixeira;PTeix217;Tei602
231912472-55;Marcus A F Moore;MMoor231;Moo574
100257177-83;Juliana L M Ferreira;JFerr100;Fer392
050442438-56;Athos K F Saunders;ASaun050;Sau591
287629089-59;Eduardo G G Nunes;ENune287;Nun936
188586870-83;Rafael B F Murta;RMurt188;Mur900
607780469-33;Pedro C K Domingues;PDomi607;Dom825
624335923-52;Natália F D Avelino;NAvel624;Ave511
290723400-88;Leandro G M Sanders;LSand290;San993
062399469-91;Beatriz J I Barros;BBarr062;Bar731
519193389-69;Thiago K G Dias;TDias519;Dia402
162639381-14;Márcia D L Magela;MMage162;Mag180
498588644-57;Sandra K M Heredia;SHere498;Her846
512031435-18;Gustavo F F Tavares;GTava512;Tav739
106819099-36;Rogério C B Leal;RLeal106;Lea292
125782727-18;Tamara H J Marinho;TMari125;Mar607
480011449-70;Rodrigo A I Marques;RMarq480;Mar847
105529345-72;Athos C M Caldas;ACald105;Cal854
079859877-92;Athos B L Barbosa;ABarb079;Bar891
583635664-26;Luiz M K Barros;LBarr583;Bar928
636089386-34;Fernanda L J Avelino;FAvel636;Ave363
617841015-05;Rogério L D Amaral;RAmar617;Ama335
643617913-48;Sandra G I Magela;SMage643;Mag289
578841062-57;Isadora H M Leal;ILeal578;Lea771
276508969-45;Isadora G B Domingues;IDomi276;Dom627
137965913-13;Gabriel F G Parker;GPark137;Par822
584950065-84;Diogo H L Damascena;DDama584;Dam889
118858368-67;Daniela I E Emanuel;DEman118;Ema675
233664282-42;Natália H E Moreira;NMore233;Mor843
131246130-65;Rafael J H Moreira;RMore131;Mor925
221609538-51;Athos I D Damascena;ADama221;Dam797
287706431-85;Nicky H H Tavares;NTava287;Tav984
482060458-42;Leandro L F Nunes;LNune482;Nun826
135446039-05;Francisco F M Fernandes;FFern135;Fer657
568306085-81;Athos G I Santarém;ASant568;San178
247582994-65;Paula L A Moore;PMoor247;Moo537
659921483-09;Lucas D E Dawson;LDaws659;Daw386
449624380-13;Juliana E K Magela;JMage449;Mag165
152634330-02;Diogo K G Moore;DMoor152;Moo689
449226164-33;Nicky D C Marques;NMarq449;Mar309
271699835-19;Mauro D F Logan;MLoga271;Log834
518826119-81;Jonathan J M Magela;JMage518;Mag421
117184957-09;Bárbara G J Salah;BSala117;Sal686
438525645-08;Paula F K Fernandes;PFern438;Fer705
618025241-28;Bruno E H Avelino;BAvel618;Ave855
061901672-73;Thiago E C Santos;TSant061;San849
087084859-17;Daniela G G Souza;DSouz087;Sou867
317910867-82;Jardel J M Rodrigues;JRodr317;Rod487
053457813-39;Bruno B D Moore;BMoor053;Moo306
332142132-03;Sabine B M Caldas;SCald332;Cal761
298316175-66;Eduarda D I Tavares;ETava298;Tav636
078249777-49;Jardel B G Martin;JMart078;Mar260
081792785-75;Mauro F C Sanders;MSand081;San783
390595986-20;Gabriel A J Rodrigues;GRodr390;Rod305
296828603-12;Luiz G E Mattos;LMatt296;Mat848
405560725-37;Daniela K L Moore;DMoor405;Moo566
446818464-70;João M B Mandacaru;JMand446;Man359
552566413-58;Walber B D Teixeira;WTeix552;Tei945
212537314-11;Sandra B F Tavares;STava212;Tav423
601547774-61;Andressa A J Fernandes;AFern601;Fer142
554646091-23;Isabela M K Ferreira;IFerr554;Fer603
048666054-43;Felipe D I Heredia;FHere048;Her360
365144392-31;Bruno D G Souza;BSouz365;Sou230
401117972-21;Sandra J G Leal;SLeal401;Lea535
260032317-52;Andressa A K Heredia;AHere260;Her823
226396571-17;Bárbara B F Magela;BMage226;Mag835
254918944-68;Lucas F F Logan;LLoga254;Log535
497143045-28;Emanuel K M Bryant;EBrya497;Bry122
564897889-07;Mauro K C Santarém;MSant564;San358
122678196-70;Daniela G I Dutra;DDutr122;Dut384
545380711-22;Luiz M L Fernandes;LFern545;Fer705
505165675-39;Carlos A A Parker;CPark505;Par174
354323121-68;Rafael A C Moore;RMoor354;Moo780
554567119-53;Jonathan G G Santos;JSant554;San119
212860221-67;Leonardo D G Ximenes;LXime212;Xim657
149722866-54;Carlos M B Dias;CDias149;Dia373
407616033-00;Anna I L Marques;AMarq407;Mar619
336421360-20;Gabriel F M Avelino;GAvel336;Ave384
328510000-45;Athos M F James;AJame328;Jam998
240870449-21;Eduarda J D Magela;EMage240;Mag121
415795669-51;Tamara B I Marques;TMarq415;Mar285
043494042-47;Paula H L Massula;PMass043;Mas689
327416262-89;Lucas K K Carmo;LCarm327;Car262
292626883-08;Marcus F J Alves;MAlve292;Alv870
361848088-90;Gilberto F H Domingues;GDomi361;Dom915
451153679-37;Carlos B L Rodrigues;CRodr451;Rod633
411086247-66;Leticia C L Dawson;LDaws411;Daw154
089560210-78;Jonathan A E Martins;JMart089;Mar416
469026499-52;Felipe J H Barros;FBarr469;Bar558
412301625-69;Leandro M C Holland;LHoll412;Hol537
374315404-25;Amália H M Baker;ABake374;Bak831
098408754-73;Rafael I I Bryant;RBrya098;Bry707
178018901-68;Luiz L I Murta;LMurt178;Mur163
266138199-75;Leticia I D Barbosa;LBarb266;Bar594
678766454-41;Gabriel M F Murray;GMurr678;Mur712
471280811-13;Márcia I D Fernandes;MFern471;Fer437
134605093-60;Andressa K B Tavares;ATava134;Tav951
182254682-71;Bárbara B I Avelino;BAvel182;Ave551
151915740-67;Rogério M H Martins;RMart151;Mar205
647164607-31;Mauro M D Oliveira;MOliv647;Oli839
237808881-27;Jonathan G K Oliveira;JOliv237;Oli226
308582240-77;Gustavo F D Duncan;GDunc308;Dun140
268517822-24;Emanuel G I Teixeira;ETeix268;Tei983
246994182-78;Richelle J K Marinho;RMari246;Mar114
040520431-68;Leonardo L A Tavares;LTava040;Tav925
404581918-15;Richelle M A Donaldson;RDona404;Don472
618390369-49;Bruno G B Holland;BHoll618;Hol996
238515301-52;Paula F A Heredia;PHere238;Her160
439039283-94;Sandra B G Silva;SSilv439;Sil389
074761310-45;Jardel G H Murray;JMurr074;Mur429
552594214-73;Luiz I G Holland;LHoll552;Hol324
184248929-08;Fernanda M H Sanders;FSand184;San730
509849203-24;Ruver G F Moreira;RMore509;Mor806
479253547-64;Leonardo I K Madsen;LMads479;Mad387
190116962-05;Richelle A M Tavares;RTava190;Tav556
282421257-05;Eduarda G B Marques;EMarq282;Mar573
497926186-30;Eduardo K I Damascena;EDama497;Dam808
324609675-19;Eduardo C H Duncan;EDunc324;Dun846
324477763-51;Nicky I D Oliveira;NOliv324;Oli897
243377051-67;Jonathan A L Saunders;JSaun243;Sau576
082812803-05;Fernanda H B Massula;FMass082;Mas944
504155011-33;Pedro J E Holland;PHoll504;Hol687
331903778-58;Ruver J G Garcia;RGarc331;Gar890
330848321-14;Eduardo K E Alves;EAlve330;Alv724
622888220-40;Ruver C M Ximenes;RXime622;Xim643
314964666-40;Gabriel I B Souza;GSouz314;Sou583
107531336-65;Walber B F Ximenes;WXime107;Xim865
139944062-09;Rogério G J Leal;RLeal139;Lea870
356585002-89;Paula D C Sanders;PSand356;San189
437094235-19;Cristina G K Madsen;CMads437;Mad960
385906735-09;Eduardo H B James;EJame385;Jam799
374950712-78;Mirella B I Dutra;MDutr374;Dut416
321756299-57;Mirella M B Heredia;MHere321;Her206
151570127-38;Lucas J I Moreira;LMore151;Mor675
561346850-34;Márcia F I Garcia;MGarc561;Gar947
335961771-93;Bárbara L H Magela;BMage335;Mag107
534935325-54;Rafael K I Teixeira;RTeix534;Tei353
658248116-40;Rafael E J Magela;RMage658;Mag711
673240916-80;Jonathan K H Leal;JLeal673;Lea600
112170089-82;Sabine A L Logan;SLoga112;Log482
630057786-46;Leonardo G B James;LJame630;Jam433
379144462-54;Gustavo D G Emanuel;GEman379;Ema751
394968059-62;Natália J A Nunes;NNune394;Nun247
085085126-86;Thiago I F James;TJame085;Jam353
670809760-17;Eduardo H F Dawson;EDaws670;Daw659
068225098-25;Rafael D K Salah;RSala068;Sal540
591273665-63;Márcia B I Nunes;MNune591;Nun169
581753151-02;Arthur E J Dutra;ADutr581;Dut425
148194624-66;Gabriel M I Barbosa;GBarb148;Bar891
526658864-92;Bárbara L K Domingues;BDomi526;Dom490
652186980-52;Daniela A H Silva;DSilv652;Sil123
669683571-70;Felipe M M Moore;FMoor669;Moo852
443228228-22;Mauro B G Bomfin;MBomf443;Bom613
155401735-81;Emanuel E J Massula;EMass155;Mas841
049842580-62;Eduardo H E Barros;EBarr049;Bar676
301401198-34;Tamara L A Murta;TMurt301;Mur859
228255945-95;Richelle J I Leal;RLeal228;Lea347
625135414-13;Beatriz D L Heredia;BHere625;Her170
646466122-72;Anna G A Domingues;ADomi646;Dom161
455688770-89;Diogo G D Dawson;DDaws455;Daw542
614303083-84;Rodrigo J E Martin;RMart614;Mar943
044492250-35;Daniela G M Marinho;DMari044;Mar616
082331497-36;Amália G L Leal;ALeal082;Lea356
242773961-84;Nicky I K Leal;NLeal242;Lea880
190941205-22;Sandra G M Mattos;SMatt190;Mat152
455480802-16;Daniela D C Murray;DMurr455;Mur826
147586603-68;Lucas J L Oliveira;LOliv147;Oli772
213843919-35;Daniela F I Teixeira;DTeix213;Tei841
044871349-48;Gustavo A F Dawson;GDaws044;Daw875
073522942-27;Márcia K E Bryant;MBrya073;Bry341
445659503-54;Andressa K C Bomfin;ABomf445;Bom758
477271549-24;Beatriz A J Baker;BBake477;Bak918
068674406-29;Bárbara B G Carmo;BCarm068;Car577
344145923-50;Carlos M A Teixeira;CTeix344;Tei755
475361127-91;Leonardo G F Amaral;LAmar475;Ama654
211049116-59;Lucas K A Dutra;LDutr211;Dut627
559755312-67;Juliana E D Mandacaru;JMand559;Man863
317654404-96;Bárbara C F Emanuel;BEman317;Ema308
280151847-04;Leonardo C D Caldas;LCald280;Cal855
533531144-50;Gilberto B G Garcia;GGarc533;Gar486
567631255-82;Jardel L M Mandacaru;JMand567;Man557
272186182-07;Ruver K K Ferreira;RFerr272;Fer595
586950786-53;Beatriz L B Magela;BMage586;Mag440
352935114-69;Gabriel I I Donaldson;GDona352;Don579
401280552-24;Walber E M Dawson;WDaws401;Daw469
056071262-42;Luiz D L Marinho;LMari056;Mar554
431929245-86;Jardel A B Bomfin;JBomf431;Bom319
646783430-72;Rogério H D deJesus;RdeJe646;deJ207
366514141-07;Jéssica J B Logan;JLoga366;Log750
605287238-69;Daniela G E Holland;DHoll605;Hol641
235598127-25;Felipe C G Murta;FMurt235;Mur176
040956774-60;Gilberto D J Logan;GLoga040;Log746
670453282-24;Jonathan A F Ferreira;JFerr670;Fer638
383870591-54;Arthur C D Marinho;AMari383;Mar839
601803418-43;Tamara H H Carmo;TCarm601;Car582
271253483-94;Leandro B L Nunes;LNune271;Nun928
374231401-43;Gabriela J F Amaral;GAmar374;Ama553
068219505-18;Cristina G C Holland;CHoll068;Hol937
495178593-05;Luiz I F Domingues;LDomi495;Dom567
480903120-88;Eduardo L G Salah;ESala480;Sal799
602096345-44;João F F Santarém;JSant602;San325
061278307-06;Felipe D L Avelino;FAvel061;Ave927
663570408-62;Thiago G G Avelino;TAvel663;Ave493
088425565-44;Jardel I D Souza;JSouz088;Sou998
483790455-60;Felipe J J Madsen;FMads483;Mad129
530548355-44;Leandro J H Bomfin;LBomf530;Bom703
430237066-34;Pedro A G Santos;PSant430;San590
465798027-76;Beatriz A L Avelino;BAvel465;Ave990
211166525-51;Paula K C Santos;PSant211;San608
060433228-61;Ruver B I Oliveira;ROliv060;Oli495
160085167-53;Richelle C M Bomfin;RBomf160;Bom524
488654586-65;Mirella B G Silva;MSilv488;Sil126
653205049-71;Anna E C Parker;APark653;Par599
041828484-10;Luiz G C James;LJame041;Jam971
060818274-67;Beatriz G G Carmo;BCarm060;Car985
163593846-73;Amália A B Baker;ABake163;Bak599
256694101-13;Arthur L J Rodrigues;ARodr256;Rod338
490793725-85;Cleber A D Emanuel;CEman490;Ema936
507399378-96;Beatriz L I Amaral;BAmar507;Ama485
250691543-33;Jardel M L Martin;JMart250;Mar771
375692035-03;Marcus A H Mattos;MMatt375;Mat622
276923295-14;Mauro A G Mattos;MMatt276;Mat499
572488835-69;Richelle C I Holland;RHoll572;Hol661
426390642-38;Orlando H M Ximenes;OXime426;Xim601
638979509-99;Francisco E A Marques;FMarq638;Mar767
360811074-87;Walber M L Nunes;WNune360;Nun103
203329568-30;Francisco H K Emanuel;FEman203;Ema949
446876930-91;Orlando F E Souza;OSouz446;Sou410
189939284-72;Juliana M I Alves;JAlve189;Alv173
053625791-39;Carlos G F Sanders;CSand053;San471
592289347-16;Mirella I F Logan;MLoga592;Log544
367715019-08;Walber K M Martins;WMart367;Mar677
527286048-20;Carlos I C Moore;CMoor527;Moo337
338380150-14;Anna A D Murta;AMurt338;Mur193
502838382-15;Diogo K F Turner;DTurn502;Tur605
566822192-12;Emanuel B K Dawson;EDaws566;Daw647
515316448-73;Rogério C A Marinho;RMari515;Mar727
427030936-19;Diogo C K deJesus;DdeJe427;deJ383
664930704-13;Juliana K D deJesus;JdeJe664;deJ725
672645610-43;Eduardo A B Garcia;EGarc672;Gar693
408871148-75;Rafael D J Dias;RDias408;Dia266
465839835-88;Leandro K D Nunes;LNune465;Nun715
546042857-60;Orclevio M F Logan;OLoga546;Log116
602175611-63;Jardel I M Dutra;JDutr602;Dut375
354454984-50;Jardel C C Domingues;JDomi354;Dom308
365582374-60;Diogo G J Garcia;DGarc365;Gar183
643508086-32;Gabriela L K Emanuel;GEman643;Ema342
378710288-02;Walber G L Mandacaru;WMand378;Man253
089889467-54;Richelle L J Fernandes;RFern089;Fer996
170038688-54;Isadora I E Salah;ISala170;Sal281
545947923-66;Bárbara B E Leal;BLeal545;Lea639
266141786-36;Sabine E I Damascena;SDama266;Dam988
172392205-78;Sabine F E Moore;SMoor172;Moo566
188924572-40;Andressa J E Mattos;AMatt188;Mat236
139873924-51;Mirella G I Carmo;MCarm139;Car810
319712250-93;Rogério L C Teixeira;RTeix319;Tei233
429547877-50;Leticia E A Saunders;LSaun429;Sau121
599192511-12;Orclevio B K Mandacaru;OMand599;Man770
070542584-82;Márcia J B Oliveira;MOliv070;Oli753
257497817-35;Fernanda F E Turner;FTurn257;Tur976
120759225-66;Paula L L Donaldson;PDona120;Don179
142755884-00;Mirella G J Silva;MSilv142;Sil617
154776560-13;Gilberto D M Moore;GMoor154;Moo128
293821828-73;Pedro F H Mandacaru;PMand293;Man923
566496397-69;Beatriz L C Murta;BMurt566;Mur578
277854021-93;Sandra L A Oliveira;SOliv277;Oli834
067782496-77;Cristina H D Mandacaru;CMand067;Man615
558369128-66;Paula I C Dutra;PDutr558;Dut255
632589777-66;Athos I K deJesus;AdeJe632;deJ185
354934491-84;Sabine D M Damascena;SDama354;Dam451
609866372-60;Amália B I Holland;AHoll609;Hol943
353085202-16;Emanuel B K Donaldson;EDona353;Don142
363808791-58;Gabriela J J Santarém;GSant363;San805
448920087-81;João B K Fernandes;JFern448;Fer483
269872009-65;Jardel M K Avelino;JAvel269;Ave744
458207760-56;Sandra G J Saunders;SSaun458;Sau391
668495841-35;Carlos K E Caldas;CCald668;Cal736
647032364-79;Bruno I B Amaral;BAmar647;Ama249
422460441-70;Lucas H E Bryant;LBrya422;Bry664
265581595-57;Pedro B H Souza;PSouz265;Sou220
473461609-67;Francisco M E Alves;FAlve473;Alv807
602118464-40;Isabela B K Donaldson;IDona602;Don770
430593578-09;Juliana F B deJesus;JdeJe430;deJ595
159932254-07;João D B Emanuel;JEman159;Ema347
048360443-86;Ruver A G Holland;RHoll048;Hol402
511925482-20;Marcus M K Turner;MTurn511;Tur244
272965348-65;Márcia H K Garcia;MGarc272;Gar367
638329477-11;Walber D K Avelino;WAvel638;Ave725
261229719-43;Felipe L E Duncan;FDunc261;Dun804
224718310-04;Jardel G J Ferreira;JFerr224;Fer181
669064669-54;Lucas G D Souza;LSouz669;Sou492
281981503-80;Gabriel E E Silva;GSilv281;Sil274
402161149-84;Gustavo H A Leal;GLeal402;Lea659
142493955-24;Walber J B Dawson;WDaws142;Daw888
559187436-13;Athos K K Caldas;ACald559;Cal929
264810963-77;Amália D H Moreira;AMore264;Mor391
098902399-71;Orclevio C J Nunes;ONune098;Nun278
590651279-57;Márcia M K Martins;MMart590;Mar758
519980876-14;Leandro C K Teixeira;LTeix519;Tei865
243178817-80;Richelle K B Sanders;RSand243;San360
363990187-65;Athos E L Magela;AMage363;Mag468
570193831-19;Gilberto D C Marinho;GMari570;Mar543
643449350-33;Juliana F E Murray;JMurr643;Mur620
493072004-06;Diogo I J Barbosa;DBarb493;Bar493
530652530-09;Fernanda K F Fernandes;FFern530;Fer538
185397481-90;Rogério H L Dawson;RDaws185;Daw976
555010483-82;Sabine H L Duncan;SDunc555;Dun149
095707790-44;Diogo M M Moreira;DMore095;Mor956
267463705-11;Jéssica G L Heredia;JHere267;Her378
295599456-88;Emanuel B F Amaral;EAmar295;Ama204
394173455-43;João C D Dias;JDias394;Dia892
431295380-94;Mirella L D Heredia;MHere431;Her654
348552971-80;Rafael C J Martins;RMart348;Mar777
045438224-52;Amália L H Garcia;AGarc045;Gar914
210177097-77;João M K Fernandes;JFern210;Fer447
270988904-06;Fernanda I C Santarém;FSant270;San155
105150082-31;Carlos G L Caldas;CCald105;Cal830
527227927-50;Cleber M B Nunes;CNune527;Nun650
437708355-59;Emanuel K H Amaral;EAmar437;Ama792
302695184-11;Gustavo I E Santarém;GSant302;San786
388032049-80;Amália E J Mandacaru;AMand388;Man371
118177767-41;Leonardo D L Baker;LBake118;Bak741
365524202-53;Tamara J J Emanuel;TEman365;Ema958
442497438-61;Ruver B K Marinho;RMari442;Mar128
352079328-82;Juliana D B Baker;JBake352;Bak734
658957408-27;Gustavo I H Carmo;GCarm658;Car238
146351874-17;Marcus I C Oliveira;MOliv146;Oli974
228152014-65;Sandra B D Magela;SMage228;Mag284
566302592-67;Bárbara I C Marinho;BMari566;Mar199
084990640-66;Carlos I M Donaldson;CDona084;Don258
370141051-63;Rogério J B Teixeira;RTeix370;Tei623
259002365-85;Cleber A J Martin;CMart259;Mar502
115093843-92;Rodrigo J L Fernandes;RFern115;Fer180
436439209-28;Rafael F G Damascena;RDama436;Dam371
664148636-14;Daniela C H Souza;DSouz664;Sou335
677539843-02;Gabriel H H Donaldson;GDona677;Don621
395329735-80;Gabriel J B Barbosa;GBarb395;Bar972
517932015-43;Sandra A D Bomfin;SBomf517;Bom188
212604877-91;Rodrigo K I Santarém;RSant212;San329
408976208-92;Daniela J F Moreira;DMore408;Mor670
172183314-41;Lucas G L Oliveira;LOliv172;Oli206
271011025-32;Paula F J Barros;PBarr271;Bar599
328414712-04;Rodrigo A I Marinho;RMari328;Mar417
657554075-86;Amália D E Mandacaru;AMand657;Man530
377567045-85;Gilberto D L Martins;GMart377;Mar789
593544470-20;Paula D G Baker;PBake593;Bak569
385556473-90;Pedro C K Marques;PMarq385;Mar350
466544258-49;Sabine B I Souza;SSouz466;Sou537
544949000-54;Juliana G E Madsen;JMads544;Mad483
191578499-98;Daniela I H Tavares;DTava191;Tav552
476211424-01;Cristina L C Martin;CMart476;Mar161
381364692-63;Anna B A Barros;ABarr381;Bar679
313283247-07;Orlando G C Magela;OMage313;Mag109
